scenario,interval_id,begin,end,edge_id,speed,traveltime,occupancy,entered,left
scen2,ed_port_scen1,60.0,120.0,22689439#12,18.51,0.01,0.23,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22689439#13,18.51,0.44,0.18,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22689439#14,10.45,0.02,1.62,5.0,5.0
scen2,ed_port_scen1,60.0,120.0,22689439#15,14.88,1.0,1.12,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,22689439#2,17.4,0.01,0.72,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689439#3,17.45,0.01,0.72,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689439#4,17.54,0.01,0.71,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689439#5,17.15,0.27,0.73,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689439#6,12.44,1.26,1.96,6.0,5.0
scen2,ed_port_scen1,60.0,120.0,22689439#7,14.96,0.38,0.56,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,22689439#8,13.47,0.74,1.84,6.0,6.0
scen2,ed_port_scen1,60.0,120.0,22689439#9,7.7,0.02,3.25,6.0,6.0
scen2,ed_port_scen1,60.0,120.0,22689448#10,12.71,0.27,1.92,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689448#11,4.37,2.83,6.38,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689448#3,2.91,2.82,1.78,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,22689448#4,15.77,1.0,1.05,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,22689448#5,17.72,0.01,0.94,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,22689448#6,17.94,1.36,0.91,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,22689448#7,16.46,2.06,0.68,2.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689448#8,20.04,1.0,1.25,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689448#9,18.97,3.34,1.31,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689559#0,15.94,5.17,0.78,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689559#1,21.04,0.42,0.59,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22689613#0,11.37,1.35,1.49,4.0,4.0
scen2,ed_port_scen1,60.0,120.0,22689613#1,17.71,12.74,1.04,5.0,4.0
scen2,ed_port_scen1,60.0,120.0,22689844#0,20.78,3.67,0.2,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22689844#1,23.67,0.23,0.18,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22689844#2,15.14,4.1,0.28,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22690098,16.15,4.57,0.17,1.0,0.0
scen2,ed_port_scen1,60.0,120.0,22690218#0,12.54,3.72,0.4,2.0,1.0
scen2,ed_port_scen1,60.0,120.0,22690218#1,12.32,5.36,0.67,2.0,2.0
scen2,ed_port_scen1,60.0,120.0,22740336#7,5.02,4.46,0.76,0.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740336#8,9.32,9.61,0.45,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740336#9,8.66,0.02,0.48,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740417#0,14.84,0.15,0.19,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740417#1,16.5,0.31,0.17,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740417#3,14.12,0.41,0.19,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740417#4,13.08,0.41,0.21,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740417#5,14.26,0.2,0.19,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740434#0,17.56,10.34,0.16,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740434#1,17.51,1.43,0.16,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740446#0,9.71,0.02,0.14,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740446#1,10.13,0.01,0.82,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22740446#10,9.43,0.02,0.29,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740446#11,9.69,0.8,0.27,1.0,1.0
scen2,ed_port_scen1,60.0,120.0,22740446#2,9.28,0.87,0.9,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22740446#3,10.03,1.59,0.82,3.0,3.0
scen2,ed_port_scen1,60.0,120.0,22740446#4,9.63,0.15,0.49,2.0,2.0
